aX,aY,aZ,gX,gY,gZ
-0.413,-0.741,-0.741,0.352,0.710,0.297
-1.155,-0.600,-0.600,0.376,0.758,0.296
-0.198,-0.855,-0.855,0.402,0.958,0.265
-0.476,-0.524,-0.524,0.585,1.476,0.304
-1.630,-0.049,-0.049,0.602,1.495,0.310
-0.875,-0.259,-0.259,0.530,1.021,0.278
-0.463,-0.441,-0.441,0.604,1.122,0.222
-1.200,0.637,0.637,0.785,1.439,0.202
-1.401,0.615,0.615,0.823,1.349,0.291
-0.768,0.153,0.153,0.891,1.373,0.295
-1.442,0.539,0.539,1.071,1.609,0.304
-1.465,0.125,0.125,1.150,1.776,0.332
-1.464,0.047,0.047,1.196,1.728,0.239
-1.378,0.328,0.328,1.245,1.638,0.177
-0.755,-0.064,-0.064,1.264,1.711,0.158
-0.820,0.135,0.135,1.403,2.110,0.126
-1.474,1.028,1.028,1.504,2.384,0.235
-1.356,0.712,0.712,1.261,2.200,0.247
-0.808,0.679,0.679,1.222,2.120,0.248
-0.937,0.595,0.595,1.035,2.265,0.187
-0.885,1.325,1.325,1.005,2.197,0.056
2.483,3.396,3.396,0.913,2.302,0.212
2.095,4.144,4.144,0.503,3.728,0.864
-4.507,0.617,0.617,0.629,4.112,1.161
-3.769,0.379,0.379,0.437,3.009,0.579
-1.437,1.916,1.916,0.408,2.465,0.419
-1.483,1.127,1.127,0.347,2.169,0.379
-0.585,1.709,1.709,0.249,2.209,0.291
-1.479,0.929,0.929,0.259,2.189,0.298
-2.210,0.915,0.915,0.225,1.708,0.136
-1.330,0.827,0.827,0.137,1.212,0.035
-0.468,1.124,1.124,0.199,1.117,-0.002
-0.656,1.646,1.646,0.098,1.325,0.114
-1.591,0.764,0.764,0.122,1.206,0.161
-1.841,0.547,0.547,0.126,0.872,0.035
-0.940,0.789,0.789,0.097,0.531,-0.132
-0.560,1.135,1.135,0.281,0.751,-0.244
-1.487,2.745,2.745,0.294,0.674,-0.197
-1.251,2.113,2.113,0.137,0.106,-0.009
-0.532,1.236,1.236,0.175,-0.111,-0.052
-0.549,1.793,1.793,0.166,-0.131,-0.126
-0.304,2.297,2.297,0.151,-0.203,-0.103
-0.405,1.810,1.810,0.092,-0.230,-0.054
-0.571,1.680,1.680,0.081,-0.298,-0.093
-0.475,2.035,2.035,0.071,-0.440,-0.088
-0.508,1.943,1.943,0.032,-0.625,-0.074
-0.596,2.129,2.129,0.023,-0.882,-0.023
-0.833,2.068,2.068,0.000,-1.117,0.032
-1.215,1.295,1.295,0.043,-1.506,0.082
-0.764,0.832,0.832,0.137,-1.849,-0.054
-0.284,1.876,1.876,0.347,-1.987,0.036
-0.518,0.468,0.468,0.181,-1.945,0.173
-1.080,-0.048,-0.048,0.248,-2.440,-0.147
-1.326,0.873,0.873,0.355,-2.909,-0.272
1.981,2.465,2.465,0.068,-2.769,-0.113
1.261,1.599,1.599,0.156,-2.056,0.301
0.827,1.347,1.347,0.100,-1.807,0.474
-0.306,-0.285,-0.285,-0.015,-1.851,0.442
-0.356,0.059,0.059,-0.081,-2.132,0.172
0.191,0.808,0.808,-0.109,-2.277,0.155
0.717,0.891,0.891,-0.104,-2.141,0.287
0.534,0.497,0.497,-0.193,-1.890,0.361
0.068,0.173,0.173,-0.271,-1.842,0.368
-0.055,-0.009,-0.009,-0.306,-1.874,0.341
0.316,0.353,0.353,-0.277,-1.792,0.300
0.338,0.632,0.632,-0.248,-1.613,0.382
0.336,0.427,0.427,-0.264,-1.443,0.483
0.156,-0.145,-0.145,-0.304,-1.320,0.569
-0.040,-0.663,-0.663,-0.309,-1.293,0.531
0.092,-0.466,-0.466,-0.288,-1.180,0.449
-0.013,-0.340,-0.340,-0.277,-1.033,0.420
-0.134,-0.188,-0.188,-0.263,-0.963,0.437
-0.230,-0.367,-0.367,-0.280,-0.941,0.444
-0.216,-0.439,-0.439,-0.293,-0.958,0.429
-0.165,-0.393,-0.393,-0.281,-0.928,0.445
-0.209,-0.366,-0.366,-0.281,-0.899,0.484
-0.270,-0.641,-0.641,-0.291,-0.875,0.533
-0.345,-0.881,-0.881,-0.287,-0.856,0.551
-0.431,-1.018,-1.018,-0.283,-0.832,0.542
-0.582,-1.190,-1.190,-0.241,-0.749,0.529
-0.533,-1.392,-1.392,-0.164,-0.677,0.527
-0.490,-1.481,-1.481,-0.165,-0.668,0.448
-0.442,-1.245,-1.245,-0.148,-0.645,0.346
-0.471,-0.925,-0.925,-0.110,-0.529,0.320
-0.513,-0.925,-0.925,-0.088,-0.405,0.328
-0.522,-1.104,-1.104,-0.063,-0.275,0.334
-0.446,-1.175,-1.175,-0.062,-0.222,0.316
-0.409,-1.232,-1.232,-0.071,-0.197,0.299
