aX,aY,aZ,gX,gY,gZ
2.298,0.602,0.602,-0.033,0.192,-0.429
2.004,0.346,0.346,-0.105,0.266,-0.419
2.043,0.537,0.537,-0.145,0.331,-0.432
1.810,0.409,0.409,-0.150,0.378,-0.438
1.821,0.579,0.579,-0.153,0.360,-0.427
1.691,0.656,0.656,-0.179,0.350,-0.400
1.737,0.718,0.718,-0.204,0.296,-0.380
1.739,0.713,0.713,-0.287,0.334,-0.358
1.808,0.643,0.643,-0.310,0.355,-0.326
1.762,0.541,0.541,-0.316,0.386,-0.298
1.727,0.441,0.441,-0.312,0.397,-0.283
1.688,0.455,0.455,-0.304,0.390,-0.272
1.607,0.484,0.484,-0.315,0.367,-0.241
1.566,0.526,0.526,-0.348,0.334,-0.184
1.638,0.393,0.393,-0.348,0.316,-0.146
1.520,0.207,0.207,-0.386,0.335,-0.117
1.462,0.118,0.118,-0.403,0.346,-0.089
1.461,0.097,0.097,-0.415,0.344,-0.069
1.328,0.058,0.058,-0.435,0.335,-0.050
1.297,-0.033,-0.033,-0.461,0.326,-0.028
1.295,-0.121,-0.121,-0.452,0.288,0.012
1.189,-0.133,-0.133,-0.492,0.271,0.044
1.142,-0.243,-0.243,-0.543,0.253,0.063
1.077,-0.360,-0.360,-0.582,0.245,0.071
1.022,-0.503,-0.503,-0.603,0.219,0.057
0.997,-0.530,-0.530,-0.597,0.189,0.042
0.986,-0.576,-0.576,-0.589,0.168,0.029
0.981,-0.635,-0.635,-0.590,0.156,0.018
0.971,-0.683,-0.683,-0.591,0.143,0.010
0.900,-0.763,-0.763,-0.580,0.128,0.001
0.914,-0.743,-0.743,-0.556,0.113,-0.009
0.844,-0.714,-0.714,-0.520,0.107,-0.005
0.781,-0.653,-0.653,-0.478,0.103,-0.017
0.728,-0.659,-0.659,-0.451,0.113,-0.016
0.629,-0.636,-0.636,-0.413,0.117,-0.030
0.560,-0.624,-0.624,-0.359,0.094,-0.044
0.539,-0.545,-0.545,-0.321,0.082,-0.047
0.486,-0.459,-0.459,-0.288,0.081,-0.056
0.458,-0.432,-0.432,-0.268,0.086,-0.057
0.373,-0.376,-0.376,-0.262,0.090,-0.067
0.371,-0.279,-0.279,-0.242,0.088,-0.072
0.246,-0.246,-0.246,-0.202,0.083,-0.050
0.185,-0.203,-0.203,-0.172,0.063,-0.032
0.139,-0.204,-0.204,-0.135,0.039,-0.017
0.080,-0.172,-0.172,-0.113,0.031,-0.018
0.026,-0.093,-0.093,-0.104,0.034,-0.020
0.035,-0.091,-0.091,-0.103,0.032,-0.021
0.030,-0.047,-0.047,-0.117,0.018,-0.023
0.039,-0.041,-0.041,-0.134,0.006,-0.023
